人员,季度,单位,,110接处警满意度98%的得2分，每超0.01个百分点的加0.05分，每少0.01个百分点的减0.05分,110接报扒窃、盗窃手机类警情下降得0.5分，与一季度环比每升降1个百分点加减0.05分，加满1分为止，扣完1分为止,110接报盗窃民宅类警情与一季度环比下降得0.5分，每升降1个百分点加减0.05分，加满1分为止，扣完1分为止,110接报盗窃电动车、自行车类警情与一季度环比下降得0.5分，升降1个百分点加减0.05分，加满1分为止，扣完1分为止,“微警”建设考评1.5分,“微警务”建设考评1.5分,①“六类侵财案件”发案控制（0.3分）②“六类侵财案件”立案占比（0.3分）,一般违规养犬行为查处0.5分，完成率最高得0.5分，其它单位按比例得分,人口管理1分,以各单位管控重点人员中的吸毒人员因侵财刑事案件被外区抓获的前两年平均数为控制目标，达到或低于目标值的得0.5分，每高1个百分点扣0.02分，扣完0.5分为止,侵财犯罪重点治理0.5分,信息采集会战得分（折算10分计）,入所审查人数最高的得0.2分，其它按比例得分,全市公安机关基础工作信息采集会战4分,公安队伍满意度最高得2分，其它按比例得分,关注对象管控维稳合格率最高的分别得5分,关注对象管控维稳采集率最高的分别得5分,养犬登记办证0.2分，达到目标的单位得分0.2分，每低一个百分点扣0.01分,"刑侦追逃完成得1分，
超1人得0.5分，合计最高得3分",单位户籍化管理3分,反邪教工作2分,同一小区或重点部位一周内连续发生3起同类别侵财警情一次扣1分,吸毒人员查处1分，达到目标数得0.8分，不完成的按比例得分，百警查处数最高的单位得0.2分，其它按比例得分,图侦会战2分,"场所行业从业人员信息采集
1.5分",基础创新项目工作3分,境外人员管控10分,境外人员管控1分,大型犬、烈性犬查处0.1分，完成目标得0.1分，对110和12345接报涉犬警情进行反查，发现有违规养犬举报未改正的扣0.1分，扣完0.5分为止,大干五十天禁毒会战成绩折28分计入,居住证信息采集比对0.5分，百警比中数最高得0.5分，其它按比例得分,居住证信息采集比对1.5分，比中率最高得1.5分，其它按比例得分,居住证信息采集比对1分，百警比中数最高得1分,巡逻盘查信息采集比对0.5分，百警比中数最高得0.5分，其它按比例得分,巡逻盘查信息采集比对1分,巡逻盘查抓获在逃或四类侵财作案成员每人得0.04分，累计不超0.4分。超出按百警抓获最多0.1分，其余按比例得分。巡逻规范检查0.5分，不规范扣0.05分。重大案事件处置处置得当每起加0.05分，加满0.2分为止。,巡逻盘查抓获在逃或四类侵财作案成员每人得0.04分，累计不超0.4分。超出按百警抓获最多0.1分，其余按比例得分。巡逻规范检查0.5分，不规范扣0.05分。重大案事件处置处置得当每起加0.05分，加满0.2分为止。四类盘查重点数据合格率100%得0.4分；90%得0.35分；80%得0.3分；70%得0.25分；60%得0.2分；低于60%不得分。,巡防质效3分,年内各单位110接报盗窃、诈骗、抢夺、抢劫和敲诈勒索等5类侵财警情占110接报的违法犯罪警情的比重，不高于前两年平均值得1分，每升降1个百分点分别加减0.1分，加满0.5分为止，扣完1分为止,年内各单位110接报盗窃、诈骗、抢夺、抢劫和敲诈勒索等5类侵财警情占110接报的违法犯罪警情的比重，不高于去年得1分，每升降1个百分点分别加减0.1分，加满0.5分为止，扣完1分为止,年内各单位立侵财案件较上年同比下降得1分，每升降1个百分点分别加减0.05分，加满1分为止，扣完1分为止,微信办户口最高得0.5分，其它按比例得分,微信办户口最高得1分，其它按比例得分,微警自助报警备案占110接报六类警情绝对数最高得0.5分，其它按比例得分,情报平台测试（临控）扣分,打击传销专项行动1.2分,扫毒专项行动4分,接受微警登记后立治安、刑事案件被破获，按百警比中率绝对数最高得0.5分，其它按比例得分,旅馆住宿登记信息比对0.5分，完成率最高得0.5分，其它按比例得分,旅馆住宿登记信息比对0.75分，比中率最高得0.75分，其它按比例得分,旅馆住宿登记信息比对1分，完成率最高得1分,治安乱点、重点场所打击整治工作2分,派出所消防监督管理0.5分,流动人口管理登记率最高得5分，其它按比例得分；出租房屋登记率最高得5分，其它按比例得分，漏管失控扣2-11分,涉娼涉赌百名民警公诉绝对数最大的得3分，其它按比例得分,涉娼涉赌百名民警刑拘绝对数最大的得8.5分，其它按比例得分,涉娼涉赌百名民警逮捕绝对数最大的得8.5分，其它按比例得分,涉娼涉赌逮捕、直诉人员数每完成1人得0.5分，最高得3分,涉毒逮捕、直诉达到目标数得3分，每超1人加0.5分，最高加2分，不完成的按比例得分,涉稳人员信息采集率和涉稳警情信息合格率最高的单位各得0.4分，其它按比例得分；人员管控战果加分0.2分,涉稳人员信息采集率和涉稳警情信息合格率最高的单位各得0.5分，其它按比例得分；,涉稳人员管控3分,涉稳处置工作加分,涉稳重点人员管控3分,涉警人员信息采集1.5分,涉黑涉恶类案件逮捕、直诉达到目标值得3分，每超过1人加0.5分，加分不封顶，不完成按比例得分，扣完3分为止,烟花爆竹禁放工作考核10分,"电话回访
熟悉率最高得1分，其它按比例得分",短信平台发送安全防范信息量最高得0.5分，其它按比例得分,短信平台发送安全防范信息，每周发送一次，完成既得0.5分，每少一次扣0.1分。一次不发都不得分,社会治安满意度电话回访最高得1.5分，其它按比例得分,社会治安满意度电话回访最高得1分，其它按比例得分,社区侵财性案件零发案或者发案后100%回访的得1分。其余单位按本派出所实际回访数/应回访数×1分计分,社区侵财警情控制得分,社区保安力量建设0.5分,社区保安力量建设得分,社区工作考核4分,社区民警“站高峰”在岗率0.5分，全部在位的得基本分0.5分，发现不在位的每次扣0.1分,"社区民警每周完成20户入户调查得1.5分，每少一户扣0.05分,新入户登记人员，未入户调查的，每发现一起扣0.02分，扣完1.5分为止","社区民警每周完成20户得1分少一户扣0.05分,新入户登记人员未入户调查每发现一起扣0.02分，扣完1分为止",社区民警见警率最高得40分,社区治安满意率最高得30分,社区消防监督管理1分,社区防范1分：①社区侵财警情控制0.5分,社区防范1分：②社区保安力量建设0.5分,禁毒冲刺会战成绩折20分计入,管控吸毒人员因侵财刑事案件被逮捕、直诉或涉艾侵财犯罪嫌疑人被医院鉴定关押的，完成1人得0.75分，最高2分,"经侦追逃
每抓获1名境外新增逃犯或协助检察机关每抓获1名职务犯罪境外逃犯得2分",维护安全工作1分,维稳人员信息采集率和涉稳警情信息合格率最高的单位各得0.4分，其它按比例得分；人员管控战果加分0.2分,网吧上网登记信息比对0.5分，完成率最高得0.5分，其它按比例得分,网吧上网登记信息比对0.75分，比中率最高得0.75分，其它按比例得分,网吧上网登记信息比对1分，完成率最高得1分,警卫、安保执勤、维稳由治安大队、维稳办依据考核方案最高单位分别得0.5分，其他按比例得分,警卫、安保执勤、维稳由治安大队、维稳办依据考核方案最高单位分别得10分，其他按比例得分,重点人员管控2.5分,重点人员管控5.5分,重点人员经营管控2分,防控体系建设建设得分10分,非法集资专项整治行动1.2分,食药环百名民警刑拘绝对数最大的得15分，其它按比例得分,食药环节会战2分,食药环逮捕、直诉人员数每完成1人得0.75分，加分不封顶，不完成不得分
c31,第二季度,A3派出所,0.45,2.575,1.0,1.0,0.0,1.35,1.29,0.5220909090909092,0.089,0.9740740740740741,0.5,0.26272727272727275,3.64,0.15433333333333332,3.3932258064516128,1.8499999999999999,5.0,5.0,0.14781249999999999,0.25,2.6009677419354835,0.0,0.0,1.0,2.0,1.3920833333333331,3.0,7.375172413793103,0.5644444444444444,0.0,20.4,0.02,0.7793548387096775,0.109,0.43,0.449,1.336,1.53,2.035,1.5,1.5,1.950909090909091,0.2874193548387097,0.6362903225806452,0.43636363636363645,-0.5,0.58,3.28,0.49,0.479,0.75,0.41,0.15,0.45416666666666666,9.724137931034482,0.0,1.0,0.0,0.5,3.0,0.8,1.0,1.3170370370370372,0.5,1.7258064516129032,1.4,4.0,7.9,0.9735483870967742,0.4661290322580645,0.5,1.5,0.9629999999999997,1.0,0.5,0.3,0.42056,3.45,0.75,1.5,0.9993548387096775,28.42758620689655,23.67241379310345,1.0,0.5,0.26408000000000004,19.1,0.75,2.0,0.8,0.8,0.014,0.04,0.034,0.4,6.1,1.4309999999999998,2.0,2.0,6.5,0.9281818181818182,0.0,1.53,0.75
c31,第三季度,A3派出所,0.45,2.575,1.0,1.0,0.0,1.35,1.29,0.5220909090909092,0.089,0.9740740740740741,0.5,0.26272727272727275,3.64,0.15433333333333332,3.3932258064516128,1.8499999999999999,5.0,5.0,0.14781249999999999,0.25,2.6009677419354835,0.0,0.0,1.0,2.0,1.3920833333333331,3.0,7.375172413793103,0.5644444444444444,0.0,20.4,0.02,0.7793548387096775,0.109,0.139,0.449,1.336,1.53,2.035,1.5,1.5,1.950909090909091,0.2874193548387097,0.6362903225806452,0.43636363636363645,-0.5,0.58,3.28,0.49,0.479,0.75,0.41,0.15,0.45416666666666666,9.724137931034482,0.0,1.0,0.0,0.5,3.0,0.8,1.0,1.3170370370370372,0.5,1.7258064516129032,1.4,4.0,7.9,0.9735483870967742,0.4661290322580645,0.5,1.5,0.9629999999999997,1.0,0.5,0.3,0.42056,3.45,0.75,1.5,0.9993548387096775,28.42758620689655,23.67241379310345,1.0,0.5,0.26408000000000004,19.1,0.75,2.0,0.8,0.8,0.014,0.04,0.034,0.4,6.1,1.4309999999999998,2.0,2.0,6.5,0.9281818181818182,0.0,1.53,0.75
c31,第四季度,A3派出所,0.45,2.575,1.0,1.0,0.0,1.35,1.29,0.5220909090909092,0.089,0.9740740740740741,0.5,0.26272727272727275,3.64,0.15433333333333332,3.3932258064516128,1.8499999999999999,5.0,5.0,0.14781249999999999,0.25,2.6009677419354835,0.0,0.0,1.0,2.0,1.3920833333333331,3.0,7.375172413793103,0.5644444444444444,0.0,20.4,0.02,0.7793548387096775,0.109,0.2845,0.449,1.336,1.53,2.035,1.5,1.5,1.950909090909091,0.2874193548387097,0.6362903225806452,0.43636363636363645,-0.5,0.58,3.28,0.49,0.479,0.75,0.41,0.15,0.45416666666666666,9.724137931034482,0.0,1.0,0.0,0.5,3.0,0.8,1.0,1.3170370370370372,0.5,1.7258064516129032,1.4,4.0,7.9,0.9735483870967742,0.4661290322580645,0.5,1.5,0.9629999999999997,1.0,0.5,0.3,0.42056,3.45,0.75,1.5,0.9993548387096775,28.42758620689655,23.67241379310345,1.0,0.5,0.26408000000000004,19.1,0.75,2.0,0.8,0.8,0.014,0.04,0.034,0.4,6.1,1.4309999999999998,2.0,2.0,6.5,0.9281818181818182,0.0,1.53,0.75
c41,第一季度,A4派出所,0.45,2.575,1.0,1.0,0.0,1.35,1.32,0.531,0.499,0.975,0.5,0.04,8.15,0.15433333333333332,3.39,1.8499999999999999,5.0,5.0,0.2,0.25,2.28,0.0,0.0,0.7123529411764705,2.0,1.42,3.0,7.96,0.475,0.1,22.0,0.162,1.5,0.327,0.147,0.096,0.89,1.56,2.481,1.5,1.5,1.972,0.13,0.625,0.41,-0.5,0.58,3.1825,0.4942857142857143,0.215,0.27,0.327,0.15,0.475,10.0,0.0,2.2,1.5,0.6764705882352942,3.75,0.8,1.0,1.3170370370370372,0.5,2.0,1.5,4.0,10.0,0.9733333333333333,0.5,0.5,1.5,0.975,1.0,0.5,0.3,0.5,3.52,0.75,1.5,1.0,29.2,20.0,1.0,0.5,0.287,15.3,0.75,2.0,0.8,0.8,0.01,0.08,0.223,0.3,4.9,1.96,2.0,2.0,10.0,0.0,0.0,1.53,0.4852941176470588
c41,第二季度,A4派出所,0.45,2.575,1.0,1.0,0.0,1.35,1.32,0.531,0.499,0.975,0.5,0.04,8.15,0.15433333333333332,3.39,1.8499999999999999,5.0,5.0,0.2,0.25,2.28,0.0,0.0,0.7123529411764705,2.0,1.42,3.0,7.96,0.475,0.1,22.0,0.162,1.5,0.327,0.09,0.096,0.89,1.56,2.481,1.5,1.5,1.972,0.13,0.74,0.41,-0.5,0.58,3.1825,0.4942857142857143,0.215,0.27,0.327,0.15,0.475,10.0,0.0,2.2,1.5,0.6764705882352942,3.75,0.8,1.0,1.3170370370370372,0.5,2.0,1.5,4.0,10.0,1.0,0.5,0.5,1.5,0.97,1.0,0.5,0.3,0.5,3.52,1.0,1.5,1.0,29.2,20.0,1.0,0.5,0.287,15.3,0.75,2.0,0.8,0.8,0.01,0.08,0.223,0.3,4.9,1.96,2.0,2.0,10.0,0.0,0.0,1.53,0.4852941176470588
c41,第三季度,A4派出所,0.45,2.575,1.0,1.0,0.0,1.35,1.32,0.529,0.498,0.95,0.5,0.03,8.15,0.15433333333333332,3.39,1.8499999999999999,5.0,5.0,0.2,0.25,2.28,0.0,0.0,0.7123529411764705,2.0,1.42,3.0,7.96,0.49,0.1,22.0,0.162,1.5,0.327,0.204,0.096,0.89,1.56,2.481,1.5,1.5,1.972,0.13,0.51,0.41,-0.5,0.58,3.1825,0.4942857142857143,0.215,0.27,0.327,0.15,0.45,10.0,0.0,2.2,1.5,0.6764705882352942,3.75,0.8,1.0,1.3170370370370372,0.5,2.0,1.5,4.0,10.0,0.97,0.5,0.5,1.5,0.98,1.0,0.5,0.3,0.5,3.52,0.5,1.5,1.0,29.2,20.0,1.0,0.5,0.287,15.3,0.75,2.0,0.8,0.8,0.01,0.08,0.223,0.3,4.9,1.96,2.0,2.0,10.0,0.0,0.0,1.53,0.4852941176470588
c41,第四季度,A4派出所,0.45,2.575,1.0,1.0,0.0,1.35,1.32,0.533,0.5,1.0,0.5,0.05,8.15,0.15433333333333332,3.39,1.8499999999999999,5.0,5.0,0.2,0.25,2.28,0.0,0.0,0.7123529411764705,2.0,1.42,3.0,7.96,0.46,0.1,22.0,0.162,1.5,0.327,0.147,0.096,0.89,1.56,2.481,1.5,1.5,1.972,0.13,0.625,0.41,-0.5,0.58,3.1825,0.4942857142857143,0.215,0.27,0.327,0.15,0.5,10.0,0.0,2.2,1.5,0.6764705882352942,3.75,0.8,1.0,1.3170370370370372,0.5,2.0,1.5,4.0,10.0,0.95,0.5,0.5,1.5,0.975,1.0,0.5,0.3,0.5,3.52,0.75,1.5,1.0,29.2,20.0,1.0,0.5,0.287,15.3,0.75,2.0,0.8,0.8,0.01,0.08,0.223,0.3,4.9,1.96,2.0,2.0,10.0,0.0,0.0,1.53,0.4852941176470588
c51,第一季度,A5派出所,0.45535714285714285,2.575,0.0,0.5,0.0,1.35,1.27,0.5220909090909092,0.4073787878787879,1.0,0.5,0.26272727272727275,8.233939393939394,0.15433333333333332,3.72,1.8499999999999999,5.0,5.0,0.14781249999999999,0.25,3.0,0.0,0.0,0.7123529411764705,2.0,1.3920833333333331,3.0,6.94,0.6599999999999999,0.06562500000000002,22.1,0.172,0.18,0.156,0.3501875,0.27471875,1.2146896551724138,1.4696153846153843,1.8115625,1.5,1.362,1.950909090909091,0.21,0.655,0.43636363636363645,-0.5,0.58,3.1825,0.4942857142857143,0.29057142857142854,0.42161290322580647,0.3509032258064516,0.38571428571428573,0.475,10.0,0.0,2.8,5.7,0.6764705882352942,3.75,0.8,1.0,1.23,0.5,2.2,1.5,4.0,8.4,0.9899999999999999,0.42,0.5,1.5,0.985,1.0,0.5,0.3,0.327,3.52,0.75,1.5,1.0,40.0,22.1,1.0,0.5,0.28,17.2,0.75,2.0,0.8,0.81,0.15121428571428572,0.3512903225806452,0.29035483870967743,0.34285714285714286,2.6,1.315,2.0,2.0,10.0,0.9281818181818182,0.0,1.53,0.4852941176470588
c51,第二季度,A5派出所,0.45535714285714285,2.575,0.0,0.5,0.0,1.35,1.27,0.5220909090909092,0.4073787878787879,1.0,0.5,0.26272727272727275,8.233939393939394,0.15433333333333332,3.72,1.8499999999999999,5.0,5.0,0.14781249999999999,0.25,3.0,0.0,0.0,0.7123529411764705,2.0,1.3920833333333331,3.0,6.94,0.6599999999999999,0.06562500000000002,22.1,0.172,0.18,0.156,0.3501875,0.27471875,1.2146896551724138,1.4696153846153843,1.8115625,1.5,1.362,1.950909090909091,0.21,0.83,0.43636363636363645,-0.5,0.58,3.1825,0.4942857142857143,0.29057142857142854,0.42161290322580647,0.3509032258064516,0.38571428571428573,0.475,10.0,0.0,2.8,5.7,0.6764705882352942,3.75,0.8,1.0,1.23,0.5,2.2,1.5,4.0,8.4,0.99,0.42,0.5,1.5,0.97,1.0,0.5,0.3,0.327,3.52,1.0,1.5,1.0,40.0,22.1,1.0,0.5,0.28,17.2,0.75,2.0,0.8,0.81,0.15121428571428572,0.3512903225806452,0.29035483870967743,0.34285714285714286,2.6,1.315,2.0,2.0,10.0,0.9281818181818182,0.0,1.53,0.4852941176470588
c51,第三季度,A5派出所,0.45535714285714285,2.575,0.0,0.5,0.0,1.35,1.27,0.5220909090909092,0.4073787878787879,1.0,0.5,0.26272727272727275,8.233939393939394,0.15433333333333332,3.72,1.8499999999999999,5.0,5.0,0.14781249999999999,0.25,3.0,0.0,0.0,0.7123529411764705,2.0,1.3920833333333331,3.0,6.94,0.58,0.06562500000000002,22.1,0.172,0.18,0.156,0.3501875,0.27471875,1.2146896551724138,1.4696153846153843,1.8115625,1.5,1.362,1.950909090909091,0.21,0.48,0.43636363636363645,-0.5,0.58,3.1825,0.4942857142857143,0.29057142857142854,0.42161290322580647,0.3509032258064516,0.38571428571428573,0.45,10.0,0.0,2.8,5.7,0.6764705882352942,3.75,0.8,1.0,1.23,0.5,2.2,1.5,4.0,8.4,0.98,0.42,0.5,1.5,1.0,1.0,0.5,0.3,0.327,3.52,0.5,1.5,1.0,40.0,22.1,1.0,0.5,0.28,17.2,0.75,2.0,0.8,0.81,0.15121428571428572,0.3512903225806452,0.29035483870967743,0.34285714285714286,2.6,1.71,2.0,2.0,10.0,0.9281818181818182,0.0,1.53,0.4852941176470588
c51,第四季度,A5派出所,0.45535714285714285,2.575,0.0,0.5,0.0,1.35,1.27,0.5220909090909092,0.4073787878787879,1.0,0.5,0.26272727272727275,8.233939393939394,0.15433333333333332,3.72,1.8499999999999999,5.0,5.0,0.14781249999999999,0.25,3.0,0.0,0.0,0.7123529411764705,2.0,1.3920833333333331,3.0,6.94,0.74,0.06562500000000002,22.1,0.172,0.18,0.156,0.3501875,0.27471875,1.2146896551724138,1.4696153846153843,1.8115625,1.5,1.362,1.950909090909091,0.21,0.655,0.43636363636363645,-0.5,0.58,3.1825,0.4942857142857143,0.29057142857142854,0.42161290322580647,0.3509032258064516,0.38571428571428573,0.5,10.0,0.0,2.8,5.7,0.6764705882352942,3.75,0.8,1.0,1.23,0.5,2.2,1.5,4.0,8.4,1.0,0.42,0.5,1.5,0.985,1.0,0.5,0.3,0.327,3.52,0.75,1.5,1.0,40.0,22.1,1.0,0.5,0.28,17.2,0.75,2.0,0.8,0.81,0.15121428571428572,0.3512903225806452,0.29035483870967743,0.34285714285714286,2.6,0.92,2.0,2.0,10.0,0.9281818181818182,0.0,1.53,0.4852941176470588
c52,第一季度,A6派出所,0.45,2.575,0.0,0.5,0.0,1.388742857142857,1.378857142857143,0.5220909090909092,0.426,0.9740740740740741,0.5,0.26272727272727275,8.233939393939394,0.15433333333333332,3.3932258064516128,1.8499999999999999,5.0,5.0,0.11,0.5,2.6009677419354835,0.0,0.0,0.7123529411764705,2.0,1.34,3.0,7.375172413793103,0.5644444444444444,0.0,12.9,0.18760000000000002,0.7793548387096775,0.38022857142857136,0.19,0.458,0.89,1.4696153846153843,2.117,1.5,1.362,1.950909090909091,0.2874193548387097,0.6362903225806452,0.44,-0.5,0.58,2.54,0.4942857142857143,0.29057142857142854,0.26,0.16,0.15,0.45416666666666666,9.724137931034482,0.0,8.5,8.5,1.0,3.5,0.8,1.0,1.3170370370370372,0.5,1.7258064516129032,1.5114285714285713,2.0,8.6,0.9735483870967742,0.4661290322580645,0.5,1.5,0.9629999999999997,1.0,0.5,0.3,0.42056,3.45,0.75,1.5,0.9993548387096775,28.42758620689655,23.67241379310345,1.0,0.5,0.26408000000000004,16.113333333333333,0.75,2.0,0.8,0.8032352941176472,0.15121428571428572,0.21,0.256,0.2,2.8,1.4309999999999998,2.0,2.0,6.0,0.9281818181818182,0.0,1.53,0.75
c52,第二季度,A5派出所,0.45,2.575,0.0,0.5,0.0,1.388742857142857,1.378857142857143,0.5220909090909092,0.426,0.9740740740740741,0.5,0.26272727272727275,8.233939393939394,0.15433333333333332,3.3932258064516128,1.8499999999999999,5.0,5.0,0.11,0.5,2.6009677419354835,0.0,0.0,0.7123529411764705,2.0,1.34,3.0,7.375172413793103,0.5644444444444444,0.0,12.9,0.18760000000000002,0.7793548387096775,0.38022857142857136,0.19,0.458,0.89,1.4696153846153843,2.117,1.5,1.362,1.950909090909091,0.2874193548387097,0.6362903225806452,0.44,-0.5,0.58,2.54,0.4942857142857143,0.29057142857142854,0.26,0.16,0.15,0.45416666666666666,9.724137931034482,0.0,8.5,8.5,1.0,3.5,0.8,1.0,1.3170370370370372,0.5,1.7258064516129032,1.5114285714285713,2.0,8.6,0.9735483870967742,0.4661290322580645,0.5,1.5,0.9629999999999997,1.0,0.5,0.3,0.42056,3.45,0.75,1.5,0.9993548387096775,28.42758620689655,23.67241379310345,1.0,0.5,0.26408000000000004,16.113333333333333,0.75,2.0,0.8,0.8032352941176472,0.15121428571428572,0.21,0.256,0.2,2.8,1.4309999999999998,2.0,2.0,6.0,0.9281818181818182,0.0,1.53,0.75
c52,第四季度,A5派出所,0.45,2.575,0.0,0.5,0.0,1.388742857142857,1.378857142857143,0.5220909090909092,0.426,0.9740740740740741,0.5,0.26272727272727275,8.233939393939394,0.15433333333333332,3.3932258064516128,1.8499999999999999,5.0,5.0,0.11,0.5,2.6009677419354835,0.0,0.0,0.7123529411764705,2.0,1.34,3.0,7.375172413793103,0.5644444444444444,0.0,12.9,0.18760000000000002,0.7793548387096775,0.38022857142857136,0.19,0.458,0.89,1.4696153846153843,2.117,1.5,1.362,1.950909090909091,0.2874193548387097,0.6362903225806452,0.44,-0.5,0.58,2.54,0.4942857142857143,0.29057142857142854,0.26,0.16,0.15,0.45416666666666666,9.724137931034482,0.0,8.5,8.5,1.0,3.5,0.8,1.0,1.3170370370370372,0.5,1.7258064516129032,1.5114285714285713,2.0,8.6,0.9735483870967742,0.4661290322580645,0.5,1.5,0.9629999999999997,1.0,0.5,0.3,0.42056,3.45,0.75,1.5,0.9993548387096775,28.42758620689655,23.67241379310345,1.0,0.5,0.26408000000000004,16.113333333333333,0.75,2.0,0.8,0.8032352941176472,0.15121428571428572,0.21,0.256,0.2,2.8,1.4309999999999998,2.0,2.0,6.0,0.9281818181818182,0.0,1.53,0.75
c61,第一季度,A6派出所,0.45535714285714285,2.575,1.0,1.0,0.0,1.463,1.4,0.517,0.451,0.925,0.5,0.39,8.233939393939394,0.15433333333333332,3.47,1.8499999999999999,5.0,5.0,0.15,0.25,2.75,0.0,-0.16666666666666666,0.7123529411764705,2.0,1.3920833333333331,3.0,10.0,0.94,0.1,20.55666666666667,0.5,0.19,0.699,0.3501875,0.27471875,1.2146896551724138,1.4696153846153843,1.8115625,1.495,0.819,1.950909090909091,0.5,1.0,0.43636363636363645,-0.5,0.58,3.1825,0.4942857142857143,0.29057142857142854,0.42161290322580647,0.3509032258064516,0.38571428571428573,0.45416666666666666,10.0,0.21666666666666667,2.9066666666666663,2.35,0.6764705882352942,3.75,0.8,1.0,2.2,0.5,1.55,1.5,4.0,8.612121212121211,0.9733333333333333,0.5,0.5,1.5,0.965,1.0,0.5,0.3,0.42056,3.79,0.75,1.5,1.0,25.5,24.1,1.0,0.5,0.26408000000000004,13.1,0.75,2.0,0.8,0.8032352941176472,0.15121428571428572,0.3512903225806452,0.29035483870967743,0.34285714285714286,5.993939393939394,1.4309999999999998,2.0,2.0,7.96969696969697,1.6,1.0566666666666669,1.53,0.4852941176470588
c61,第二季度,A6派出所,0.45535714285714285,2.575,1.0,1.0,0.0,1.463,1.4,0.517,0.451,0.925,0.5,0.39,8.233939393939394,0.15433333333333332,3.47,1.8499999999999999,5.0,5.0,0.15,0.25,2.75,0.0,-0.16666666666666666,0.7123529411764705,2.0,1.3920833333333331,3.0,10.0,0.94,0.1,20.55666666666667,0.5,0.19,0.699,0.3501875,0.27471875,1.2146896551724138,1.4696153846153843,1.8115625,1.495,0.819,1.950909090909091,0.5,1.0,0.43636363636363645,-0.5,0.58,3.1825,0.4942857142857143,0.29057142857142854,0.42161290322580647,0.3509032258064516,0.38571428571428573,0.45416666666666666,10.0,0.21666666666666667,2.9066666666666663,2.35,0.6764705882352942,3.75,0.8,1.0,2.2,0.5,1.55,1.5,4.0,8.612121212121211,0.97,0.5,0.5,1.5,0.98,1.0,0.5,0.3,0.42056,3.79,1.0,1.5,1.0,25.5,24.1,1.0,0.5,0.26408000000000004,13.1,0.75,2.0,0.8,0.8032352941176472,0.15121428571428572,0.3512903225806452,0.29035483870967743,0.34285714285714286,5.993939393939394,1.4309999999999998,2.0,2.0,7.96969696969697,1.6,1.0566666666666669,1.53,0.4852941176470588
c61,第三季度,A6派出所,0.45535714285714285,2.575,1.0,1.0,0.0,1.463,1.4,0.517,0.451,0.85,0.5,0.5,8.233939393939394,0.15433333333333332,3.47,1.8499999999999999,5.0,5.0,0.15,0.25,2.75,0.0,-0.16666666666666666,0.7123529411764705,2.0,1.3920833333333331,3.0,10.0,0.98,0.1,20.55666666666667,0.5,0.19,0.699,0.3501875,0.27471875,1.2146896551724138,1.4696153846153843,1.8115625,1.49,0.819,1.950909090909091,0.5,1.0,0.43636363636363645,-0.5,0.58,3.1825,0.4942857142857143,0.29057142857142854,0.42161290322580647,0.3509032258064516,0.38571428571428573,0.45416666666666666,10.0,0.21666666666666667,2.9066666666666663,2.35,0.6764705882352942,3.75,0.8,1.0,2.2,0.5,1.55,1.5,4.0,8.612121212121211,1.0,0.5,0.5,1.5,0.95,1.0,0.5,0.3,0.42056,3.79,0.5,1.5,1.0,25.5,24.1,1.0,0.5,0.26408000000000004,13.1,0.75,2.0,0.8,0.8032352941176472,0.15121428571428572,0.3512903225806452,0.29035483870967743,0.34285714285714286,5.993939393939394,1.4309999999999998,2.0,2.0,7.96969696969697,1.2,1.0566666666666669,1.53,0.4852941176470588
c61,第四季度,A6派出所,0.45535714285714285,2.575,1.0,1.0,0.0,1.463,1.4,0.517,0.451,1.0,0.5,0.28,8.233939393939394,0.15433333333333332,3.47,1.8499999999999999,5.0,5.0,0.15,0.25,2.75,0.0,-0.16666666666666666,0.7123529411764705,2.0,1.3920833333333331,3.0,10.0,0.9,0.1,20.55666666666667,0.5,0.19,0.699,0.3501875,0.27471875,1.2146896551724138,1.4696153846153843,1.8115625,1.5,0.819,1.950909090909091,0.5,1.0,0.43636363636363645,-0.5,0.58,3.1825,0.4942857142857143,0.29057142857142854,0.42161290322580647,0.3509032258064516,0.38571428571428573,0.45416666666666666,10.0,0.21666666666666667,2.9066666666666663,2.35,0.6764705882352942,3.75,0.8,1.0,2.2,0.5,1.55,1.5,4.0,8.612121212121211,0.95,0.5,0.5,1.5,0.965,1.0,0.5,0.3,0.42056,3.79,0.75,1.5,1.0,25.5,24.1,1.0,0.5,0.26408000000000004,13.1,0.75,2.0,0.8,0.8032352941176472,0.15121428571428572,0.3512903225806452,0.29035483870967743,0.34285714285714286,5.993939393939394,1.4309999999999998,2.0,2.0,7.96969696969697,2.0,1.0566666666666669,1.53,0.4852941176470588
